,ex_name,muscle_group,ex_mech_type,ex_type,ex_equipment,level,reps,sets,main-muscle-worked,movement_size,load_size
78,kettlebell seated press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
79,double kettlebell jerk,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
80,kettlebell arnold press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
81,two-arm kettlebell row,upperbody,Compound,Horizontal Pull,kettlebells,intermediate,0,0,Middle Back,Medium,Moderate
82,smith machine decline press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Chest,Medium,Moderate
83,double kettlebell push press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
84,see-saw press (alternating side press),upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
85,alternating kettlebell row,upperbody,Compound,Horizontal Pull,kettlebells,intermediate,0,0,Middle Back,Medium,Moderate
86,leverage high row,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Middle Back,Medium,Moderate
87,lying t-bar row,upperbody,Compound,Horizontal Pull,machine,intermediate,0,0,Middle Back,Medium,Moderate
88,cuban press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
89,plyo kettlebell pushups,upperbody,Compound,Horizontal Push,kettlebells,expert,0,0,Chest,Medium,Moderate
90,reverse flyes with external rotation,upperbody,Compound,Horizontal Pull,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
91,smith machine bent over row,upperbody,Compound,Vertical Pull,machine,beginner,0,0,Middle Back,Medium,Moderate
92,machine shoulder (military) press,upperbody,Compound,Vertical Push,machine,beginner,0,0,Shoulders,Medium,Moderate
93,smith machine incline bench press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Chest,Medium,Moderate
94,suitcase dumbbell carry,upperbody,Compound,Carry,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
95,dumbbell one-arm upright row,upperbody,Compound,Horizontal Pull,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
96,kettlebell turkish get-up (lunge style),upperbody,Compound,Vertical Pull,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
97,machine-assisted pull-up,upperbody,Compound,Vertical Pull,machine,beginner,0,0,Lats,Medium,Moderate
98,one-arm kettlebell row,upperbody,Compound,Horizontal Pull,kettlebells,intermediate,0,0,Middle Back,Medium,Moderate
99,iron cross,upperbody,Compound,,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
100,bent over two-dumbbell row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Middle Back,Medium,Moderate
101,smith machine bench press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Chest,Medium,Moderate
102,smith machine upright row,upperbody,Compound,Vertical Pull,machine,beginner,0,0,Traps,Medium,Moderate
103,decline smith press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Chest,Medium,Moderate
104,one-arm kettlebell clean and jerk,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
105,smith machine close-grip bench press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Triceps,Medium,Moderate
106,close-grip dumbbell press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Triceps,Medium,Moderate
107,tate press,upperbody,Compound,Arm Curl,dumbbell,intermediate,0,0,Triceps,Medium,Moderate
108,man maker,upperbody,Compound,Horizontal Push Vertical Push Horizontal Pull,dumbbell,intermediate,0,0,Middle Back,Medium,Moderate
109,incline dumbbell bench with palms facing in,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
110,straight-arm dumbbell pullover,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Chest,Medium,Moderate
111,one arm dumbbell bench press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
112,bottoms-up clean from the hang position,upperbody,Compound,Arm Curl,kettlebells,intermediate,0,0,Forearm,Medium,Moderate
113,decline dumbbell bench press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
114,alternating renegade row,upperbody,Compound,Horizontal Pull,kettlebells,expert,0,0,Middle Back,Medium,Moderate
115,kettlebell thruster,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
116,alternating kettlebell press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
117,hammer grip incline db bench press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
118,dumbbell seated box jump,upperbody,Compound,Pylometric,dumbbell,intermediate,0,0,Quadriceps,Medium,Moderate
119,one arm pronated dumbbell triceps extension,upperbody,Compound,,dumbbell,beginner,0,0,Triceps,Medium,Moderate
120,kettlebell turkish get-up (squat style),upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
121,dumbbell rear delt row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
122,dumbbell bench press with neutral grip,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
123,leverage incline chest press,upperbody,Compound,Horizontal Push,machine,beginner,0,0,Chest,Medium,Moderate
124,two-arm kettlebell military press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
125,dumbbell one-arm shoulder press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
126,standing dumbbell upright row,upperbody,Compound,Vertical Pull,dumbbell,beginner,0,0,Traps,Medium,Moderate
127,kettlebell sumo high pull,upperbody,Compound,Vertical Pull,kettlebells,intermediate,0,0,Traps,Medium,Moderate
128,bent over two-dumbbell row with palms in,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Middle Back,Medium,Moderate
129,dumbbell incline row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Middle Back,Medium,Moderate
130,incline dumbbell press reverse-grip,upperbody,Compound,Horizontal Push,dumbbell,intermediate,0,0,Chest,Medium,Moderate
131,leverage shoulder press,upperbody,Compound,Vertical Push,machine,beginner,0,0,Shoulders,Medium,Moderate
132,bent press,upperbody,Compound,Hinge,kettlebells,expert,0,0,Abs,Medium,Moderate
133,smith machine overhead shoulder press,upperbody,Compound,Vertical Push,machine,beginner,0,0,Shoulders,Medium,Moderate
134,arnold dumbbell press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
135,single dumbbell raise,upperbody,Compound,Vertical Pull,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
136,dumbbell shoulder press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
137,standing alternating dumbbell press,upperbody,Compound,Vertical Push,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
138,one-arm dumbbell row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Middle Back,Medium,Moderate
139,alternating deltoid raise,upperbody,Compound,,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
140,incline dumbbell press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
141,standing dumbbell press,upperbody,Compound,Vertical Push,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
142,seated dumbbell press,upperbody,Compound,Vertical Push,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
143,dumbbell flyes,upperbody,Compound,Horizontal Pull,dumbbell,beginner,0,0,Chest,Medium,Moderate
144,power partials,upperbody,Compound,,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
145,romanian deadlift with dumbbells,upperbody,Compound,Hinge,dumbbell,intermediate,0,0,Hamstrings,Medium,Moderate
146,dumbbell floor press,upperbody,Compound,Horizontal Push,dumbbell,intermediate,0,0,Triceps,Medium,Moderate
147,standing palms-in dumbbell press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
148,one-arm kettlebell push press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
149,dumbbell bench press,upperbody,Compound,Horizontal Push,dumbbell,beginner,0,0,Chest,Medium,Moderate
150,side laterals to front raise,upperbody,Compound,,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
151,standing palm-in one-arm dumbbell press,upperbody,Compound,Vertical Push,dumbbell,beginner,0,0,Shoulders,Medium,Moderate
152,dumbbell clean and jerk,upperbody,Compound,Vertical Push,dumbbell,expert,0,0,Shoulders,Medium,Moderate
153,dumbbell incline bench press,upperbody,Compound,Horizontal Push,dumbbell,beginner,10,3,Chest,Medium,Moderate
154,weighted chin up,upperbody,Compound,Vertical Pull,dumbbell,beginner,12,3,Middle Back,Medium,Moderate
155,Chest Support Row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,10,3,Middle Back,Medium,Moderate
156,weighted pullups,upperbody,Compound,Vertical Pull,pullup bar,beginner,8,3,Traps,Medium,Moderate
157,Chest Support Row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,12,3,Middle Back,Medium,Moderate
158,Chest Support Row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,14,3,Middle Back,Medium,Moderate
159,Chest Support Row,upperbody,Compound,Horizontal Pull,dumbbell,beginner,15,3,Middle Back,Medium,Moderate
160,wide-hands push-up,upperbody,Isolation,Horizontal Push,body-only,beginner,0,0,Chest,Small,Light
161,bosu ball push-up,upperbody,Isolation,Horizontal Push,exercise-ball,intermediate,0,0,Chest,Small,Light
162,wall shoulder tap,upperbody,Isolation,Calisthenic,body-only,intermediate,0,0,Shoulders,Small,Light
163,punches,upperbody,Isolation,Cardio,body-only,beginner,0,0,Shoulders,Small,Light
164,incline push-up reverse grip,upperbody,Isolation,Horizontal Push Calisthenic,body-only,beginner,0,0,Chest,Small,Light
165,isometric chest squeezes,upperbody,Isolation,Pylometric,body-only,beginner,0,0,Chest,Small,Light
166,smith machine one-arm upright row,upperbody,Isolation,Vertical Pull,machine,beginner,0,0,Shoulders,Small,Light
167,machine lateral raise,upperbody,Isolation,Horizontal Pull,machine,beginner,0,0,Shoulders,Small,Light
168,bear crawl shoulder tap,upperbody,Isolation,Calisthenic,body-only,intermediate,0,0,Shoulders,Small,Light
169,seated back extension,upperbody,Isolation,Hinge,machine,beginner,0,0,Lower Back,Small,Light
170,reverse machine flyes,upperbody,Isolation,Horizontal Pull,machine,beginner,0,0,Shoulders,Small,Light
171,machine bench press,upperbody,Isolation,Horizontal Push,machine,beginner,0,0,Chest,Small,Light
172,close-grip push-up off of a dumbbell,upperbody,Isolation,Horizontal Push,body-only,intermediate,0,0,Triceps,Small,Light
173,weighted ball hyperextension,upperbody,Isolation,Hinge,exercise-ball,intermediate,0,0,Lower Back,Small,Light
174,machine triceps extension,upperbody,Isolation,Horizontal Push,machine,beginner,0,0,Triceps,Small,Light
175,smith machine behind the back shrug,upperbody,Isolation,Vertical Pull,machine,beginner,0,0,Traps,Small,Light
176,leverage decline chest press,upperbody,Isolation,Horizontal Push,machine,beginner,0,0,Chest,Small,Light
177,leverage iso row,upperbody,Isolation,Horizontal Pull,machine,beginner,0,0,Lats,Small,Light
178,close-grip ez-bar curl with band,upperbody,Isolation,Arm Curl,e-z-curl-bar,beginner,0,0,Biceps,Small,Light
179,lying close-grip barbell triceps press to chin,upperbody,Isolation,Horizontal Push,e-z-curl-bar,intermediate,0,0,Triceps,Small,Light
180,lying triceps press,upperbody,Isolation,Horizontal Push,e-z-curl-bar,intermediate,0,0,Triceps,Small,Light
181,body-up,upperbody,Isolation,Horizontal Push,body-only,intermediate,0,0,Triceps,Small,Light
182,leverage chest press,upperbody,Isolation,Horizontal Push,machine,beginner,0,0,Chest,Small,Light
183,butterfly,upperbody,Isolation,Horizontal Push,machine,beginner,0,0,Chest,Small,Light
184,machine preacher curls,upperbody,Isolation,Horizontal Pull,machine,beginner,0,0,Biceps,Small,Light
185,calf-machine shoulder shrug,upperbody,Isolation,Vertical Push,machine,beginner,0,0,Traps,Small,Light
186,dip machine,upperbody,Isolation,Vertical Push,machine,beginner,0,0,Triceps,Small,Light
187,hyperextensions with no hyperextension bench,upperbody,Isolation,Hinge,body-only,intermediate,0,0,Lower Back,Small,Light
188,bosu ball crunch,upperbody,Isolation,Hinge,exercise-ball,beginner,0,0,Abs,Small,Light
189,weighted ball side bend,upperbody,Isolation,Calisthenic,exercise-ball,intermediate,0,0,Abs,Small,Light
190,reverse barbell preacher curls,upperbody,Isolation,Horizontal Pull,e-z-curl-bar,intermediate,0,0,Biceps,Small,Light
191,ez-bar skullcrusher,upperbody,Isolation,Horizontal Push,e-z-curl-bar,beginner,0,0,Triceps,Small,Light
192,ab crunch machine,upperbody,Isolation,,machine,intermediate,0,0,Abs,Small,Light
193,smith machine hip raise,upperbody,Isolation,,machine,beginner,0,0,Abs,Small,Light
194,exercise ball crunch,upperbody,Isolation,,exercise-ball,beginner,0,0,Abs,Small,Light
195,machine bicep curl,upperbody,Isolation,Arm Curl,machine,beginner,0,0,Biceps,Small,Light
196,leverage shrug,upperbody,Isolation,Vertical Pull,machine,beginner,0,0,Traps,Small,Light
197,ez-bar curl,upperbody,Isolation,Arm Curl,e-z-curl-bar,beginner,0,0,Biceps,Small,Light
198,exercise ball pull-in,upperbody,Isolation,,exercise-ball,beginner,0,0,Abs,Small,Light
199,spider curl,upperbody,Isolation,Arm Curl,e-z-curl-bar,beginner,0,0,Biceps,Small,Light
200,smith machine shrug,upperbody,Isolation,Vertical Pull,machine,beginner,0,0,Traps,Small,Light
201,dips - triceps version,upperbody,Isolation,,body-only,beginner,0,0,Triceps,Small,Light
202,Face Pulls,upperbody,Isolation,Horizontal Pull,cables,beginner,12,3,Middle Back,Small,Light
203,barbell front-to-back squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
204,front squat (clean grip),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
205,reverse band deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Largest,Heaviest
206,front squat (bodybuilder),lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
207,front-to-back squat with belt,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
208,speed box squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
209,power snatch from blocks,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
210,snatch pull,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
211,heaving snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
212,snatch balance,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
213,hanging bar good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
214,stiff-legged deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
215,snatch from blocks,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
216,split clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
217,reverse band sumo deadlift,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Largest,Heaviest
218,sumo deadlift with bands,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
219,squat jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
220,hang snatch - below knees,lowerbody,Compound,Squat,barbell,expert,0,0,Hamstrings,Largest,Heaviest
221,reverse band power squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
222,muscle snatch,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
223,squat with bands,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
224,box squat with chains,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
225,good morning off pins,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
226,front barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
227,squat with plate movers,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
228,barbell squat to a bench,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
229,clean pull,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
230,one-arm side deadlift,lowerbody,Compound,Hinge,barbell,expert,0,0,Quadriceps,Largest,Heaviest
231,speed squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
232,frankenstein squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
233,sumo deadlift with chains,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
234,overhead squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
235,jefferson squats,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
236,romanian deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
237,jerk dip squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
238,zercher squats,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
239,power jerk,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
240,wide-stance barbell squat,lowerbody,Compound,Squat,barbell,beginner,0,0,Glutes,Largest,Heaviest
241,stiff-legged barbell deadlift,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
242,barbell thruster,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
243,weighted sissy squat,lowerbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
244,deadlift with chains,lowerbody,Compound,Hinge,barbell,expert,0,0,Lower Back,Largest,Heaviest
245,hang clean - below the knees,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
246,good morning,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
247,barbell hack squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Quadriceps,Largest,Heaviest
248,wide stance stiff legs,lowerbody,Compound,Hinge,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
249,clean,lowerbody,Compound,Squat,barbell,intermediate,0,0,Hamstrings,Largest,Heaviest
250,kneeling squat,lowerbody,Compound,Squat,barbell,intermediate,0,0,Glutes,Largest,Heaviest
